support,itemsets
0.012312400847969225,frozenset({'SKU_4976322'})
0.011736792598520266,frozenset({'SKU_4992993'})
0.0038327085877942974,frozenset({'SKU_4999530'})
0.004717179800362212,frozenset({'SKU_5028011'})
0.008283143101826504,frozenset({'SKU_5036322'})
0.001951452357887939,frozenset({'SKU_5038011'})
0.0025410998329332152,frozenset({'SKU_5066413'})
0.004057336197335355,frozenset({'SKU_5076322'})
0.0020637661626584677,frozenset({'SKU_5076413'})
0.0064440045487090935,frozenset({'SKU_5079809'})
0.0021199230650437322,frozenset({'SKU_5096322'})
0.004141571550913252,frozenset({'SKU_5098107'})
0.011526204214575524,frozenset({'SKU_5108107'})
0.0024287860281626866,frozenset({'SKU_5109905'})
0.0030745904055932273,frozenset({'SKU_5216322'})
0.0027797666680705892,frozenset({'SKU_5219682'})
0.005110278117059063,frozenset({'SKU_5509179'})
0.03396088671748866,frozenset({'SKU_5528349'})
0.0020356877114658355,frozenset({'SKU_5566577'})
0.0025270606073368993,frozenset({'SKU_5666577'})
0.004843532830729057,frozenset({'SKU_5707471'})
0.0013758441084389785,frozenset({'SKU_5737326'})
0.00367827710623482,frozenset({'SKU_5758109'})
0.004969885861095902,frozenset({'SKU_5778109'})
0.0013758441084389785,frozenset({'SKU_5871685'})
0.0034817279478863944,frozenset({'SKU_5878946'})
0.005026042763481166,frozenset({'SKU_5923159'})
0.0035098063990790266,frozenset({'SKU_5928099'})
0.0071038481517359505,frozenset({'SKU_5957568'})
0.008325260778615451,frozenset({'SKU_5978084'})
0.006317651518342248,frozenset({'SKU_6126322'})
0.025551390585295316,frozenset({'SKU_6318344'})
0.0069915343469654214,frozenset({'SKU_6328344'})
0.0018672170043100423,frozenset({'SKU_6352840'})
0.013828637212371365,frozenset({'SKU_6367618'})
0.002793805893666905,frozenset({'SKU_6376322'})
0.003888865490179562,frozenset({'SKU_6420710'})
0.006809024414213312,frozenset({'SKU_6458364'})
0.0016847070715579329,frozenset({'SKU_6461481'})
0.004927768184306953,frozenset({'SKU_6468364'})
0.0008002358589900181,frozenset({'SKU_6533600'})
0.0019233739066953066,frozenset({'SKU_6592840'})
0.0038748262645832456,frozenset({'SKU_6618353'})
0.0033694141431158658,frozenset({'SKU_6628011'})
0.001165255724494237,frozenset({'SKU_6696135'})
0.005362984177792753,frozenset({'SKU_6707297'})
0.002864002021648486,frozenset({'SKU_6763799'})
0.0017689424251358294,frozenset({'SKU_6767960'})
0.0013196872060537142,frozenset({'SKU_6926816'})
0.0020216484858695196,frozenset({'SKU_6939904'})
0.003537884850271659,frozenset({'SKU_7029904'})
0.0020356877114658355,frozenset({'SKU_7039904'})
0.005601651012930127,frozenset({'SKU_7057566'})
0.005826278622471185,frozenset({'SKU_7064350'})
0.0033413356919232335,frozenset({'SKU_7067566'})
0.00393098316696851,frozenset({'SKU_7077566'})
0.0016285501691726684,frozenset({'SKU_7078368'})
0.0013758441084389785,frozenset({'SKU_7127566'})
0.0032290218871527045,frozenset({'SKU_7136239'})
0.0024428252537590026,frozenset({'SKU_7197141'})
0.002456864479355319,frozenset({'SKU_7217141'})
0.001965491583484255,frozenset({'SKU_7221552'})
0.0011512164988979209,frozenset({'SKU_7228011'})
0.0015443148155947718,frozenset({'SKU_7258011'})
0.006233416164764352,frozenset({'SKU_7261032'})
0.0025410998329332152,frozenset({'SKU_7313673'})
