antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'SKU_5528349'}),frozenset({'SKU_8798636'}),0.03396088671748866,0.010009967850173385,0.002793805893666905,0.08226539892517569,8.21834796639739,0.002453858509461463,1.0787323818785723
frozenset({'SKU_8798636'}),frozenset({'SKU_5528349'}),0.010009967850173385,0.03396088671748866,0.002793805893666905,0.27910238429172507,8.21834796639739,0.002453858509461463,1.3400503653121216
frozenset({'SKU_9402188'}),frozenset({'SKU_348498'}),0.011245419702649202,0.007005573572561738,0.000645804377430541,0.05742821473158552,8.19750362147516,0.0005670237623492966,1.0534947490971895
frozenset({'SKU_348498'}),frozenset({'SKU_9402188'}),0.007005573572561738,0.011245419702649202,0.000645804377430541,0.09218436873747494,8.197503621475159,0.0005670237623492966,1.0891579151619823
frozenset({'SKU_776350'}),frozenset({'SKU_8798636'}),0.008072554717881762,0.010009967850173385,0.0006598436030268571,0.08173913043478262,8.16577352277578,0.0005790375898320952,1.0781141448601332
frozenset({'SKU_8798636'}),frozenset({'SKU_776350'}),0.010009967850173385,0.008072554717881762,0.0006598436030268571,0.06591865357643759,8.165773522775778,0.0005790375898320952,1.0619283310602858
frozenset({'SKU_4976322'}),frozenset({'SKU_6126322'}),0.012312400847969225,0.006317651518342248,0.0006317651518342248,0.05131128848346637,8.121892816419614,0.0005539796939226136,1.0474271870413627
frozenset({'SKU_6126322'}),frozenset({'SKU_4976322'}),0.006317651518342248,0.012312400847969225,0.0006317651518342248,0.1,8.121892816419614,0.0005539796939226136,1.0974306657244786
"frozenset({'SKU_3898011', 'SKU_3978011'})",frozenset({'SKU_2726578'}),0.005138356568251695,0.013463617346867147,0.0005615690238526443,0.10928961748633881,8.117403716302844,0.0004923881572259421,1.1075837915676277
frozenset({'SKU_2726578'}),"frozenset({'SKU_3898011', 'SKU_3978011'})",0.013463617346867147,0.005138356568251695,0.0005615690238526443,0.04171011470281543,8.117403716302842,0.0004923881572259421,1.038163564799833
